Danceability,Tempo,Instrumentalness,Energy,Acousticness,Valence,Liveness,Loudness,Speechiness,Label
0.795,119.999,0.00746,0.695,0.324,0.418,0.107,-9.097,0.0384,2
0.546,152.994,8.84e-06,0.764,0.0803,0.355,0.0971,-4.641,0.053,2
0.71,113.993,0.000391,0.436,0.107,0.2,0.118,-9.241,0.0769,2
0.516,124.989,0.766,0.888,0.182,0.0394,0.0983,-10.282,0.0328,2
0.624,109.982,0.000979,0.706,0.523,0.412,0.119,-7.435,0.0353,2
0.536,100.055,0.0019,0.591,0.718,0.293,0.113,-6.233,0.0597,2
0.541,156.027,0.0205,0.432,0.247,0.171,0.0423,-7.348,0.0698,2
0.451,92.93,3.77e-06,0.402,0.597,0.129,0.294,-4.63,0.0286,2
0.412,128.174,3.35e-06,0.671,0.0137,0.112,0.192,-6.545,0.0563,2
0.624,103.998,0.0,0.65,0.156,0.0702,0.238,-6.209,0.106,2
0.578,127.016,0.65,0.653,0.0225,0.0372,0.0801,-11.451,0.0414,2
0.626,122.008,0.386,0.755,0.14,0.372,0.0938,-10.491,0.0337,2
0.442,109.128,0.000202,0.431,0.0102,0.0707,0.118,-9.007,0.0382,2
0.432,82.607,6.59e-06,0.85,0.501,0.109,0.203,-4.417,0.0771,2
0.164,182.19,0.849,0.0774,0.86,0.0384,0.146,-15.546,0.0402,2
0.587,93.974,0.0,0.668,0.222,0.124,0.0589,-5.79,0.0435,2
