,Danceability,Tempo,Instrumentalness,Energy,Acousticness,Valence,Liveness,Loudness,Speechiness,Label
65,0.342,127.944,0.295,0.834,0.0234,0.256,0.0408,-5.427,0.0445,0
66,0.726,127.994,0.0,0.872,0.0467,0.738,0.175,-2.598,0.154,0
67,0.677,127.925,0.0,0.908,0.00557,0.798,0.11,-3.714,0.0338,0
68,0.654,129.978,9.02e-05,0.868,0.000485,0.659,0.34,-5.181,0.0387,0
69,0.591,129.018,0.0,0.963,0.00294,0.692,0.342,-4.859,0.0676,0
70,0.755,127.038,0.0268,0.858,0.000217,0.69,0.0991,-6.404,0.0505,0
71,0.63,150.02,0.0,0.898,0.265,0.485,0.351,-5.183,0.0779,0
72,0.698,130.026,0.000119,0.919,0.00432,0.197,0.401,-5.505,0.1,0
73,0.769,128.106,0.00415,0.719,0.0366,0.437,0.196,-3.917,0.0524,0
74,0.773,127.998,0.00104,0.996,0.0568,0.856,0.911,-1.941,0.0955,0
75,0.625,128.009,0.0,0.885,0.169,0.863,0.467,-3.216,0.035,0
76,0.541,127.916,0.671,0.863,0.00441,0.398,0.778,-4.647,0.196,0
77,0.709,128.007,0.0,0.801,0.0252,0.829,0.159,-4.688,0.0533,0
78,0.595,129.961,0.00222,0.931,0.00591,0.567,0.102,-5.276,0.0412,0
79,0.765,126.97,0.000705,0.789,0.0145,0.481,0.295,-7.404,0.0331,0
80,0.616,128.072,0.00126,0.926,0.0463,0.567,0.33,-6.668,0.11,0
81,0.673,129.947,0.000282,0.919,0.111,0.591,0.231,-3.541,0.041,0
82,0.635,133.021,0.0425,0.934,0.0139,0.881,0.437,-6.072,0.0568,0
83,0.768,129.971,0.475,0.826,0.0157,0.649,0.402,-8.522,0.141,0
84,0.594,127.941,0.928,0.889,0.027,0.172,0.12,-3.493,0.0287,0
85,0.666,140.012,0.0065,0.979,0.0278,0.753,0.108,-7.152,0.0506,0
86,0.707,129.99,0.00501,0.891,0.0119,0.474,0.123,-6.847,0.112,0
87,0.547,128.017,0.0136,0.919,0.0118,0.452,0.137,-5.473,0.038,0
88,0.657,131.957,0.0,0.856,0.0462,0.629,0.35,-5.116,0.0494,0
89,0.673,128.033,0.000473,0.77,0.0049,0.353,0.4,-4.566,0.0966,0
90,0.687,122.99,6.67e-05,0.786,0.00125,0.787,0.331,-5.412,0.034,0
91,0.685,129.935,3.1e-06,0.482,0.00206,0.671,0.188,-5.335,0.0457,0
92,0.654,131.876,0.0,0.771,0.00898,0.286,0.0966,-4.844,0.0928,0
93,0.825,128.003,2.2e-06,0.858,0.00822,0.191,0.123,-1.976,0.0513,0
94,0.731,127.981,0.268,0.844,0.282,0.811,0.118,-5.832,0.0353,0
95,0.67,127.971,0.0,0.725,0.0151,0.552,0.311,-6.952,0.0341,0
96,0.579,128.02,0.0,0.737,0.00758,0.686,0.144,-5.531,0.186,0
97,0.562,132.06,1.44e-05,0.783,0.135,0.391,0.282,-4.727,0.0428,0
98,0.665,127.974,1.01e-06,0.756,0.00277,0.525,0.0811,-6.942,0.114,0
99,0.521,128.02,0.202,0.825,0.000231,0.394,0.253,-7.454,0.0317,0
